booking_date,value_date,amount,currency,source_account,recipient_name,recipient_account,transaction_description,end_to_end_id,bank_reference
2026-01-16,2026-01-16,-2500.0,EUR,DE89370400440532013000,Consulting Partner GmbH,DE02120300000000202051,Beratungsleistung / kurzfristig,E2E000028,BR000028
2026-01-17,2026-01-17,-450.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000029,BR000029
2026-01-18,2026-01-18,12000.0,EUR,DE89370400440532013000,Key Customer Sp. z o.o.,PL61109010140000071219812874,Invoice 2026-030,E2E000030,BR000030
2026-01-19,2026-01-19,-300.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000031,BR000031
2026-01-20,2026-01-20,-450.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000032,BR000032
2026-01-21,2026-01-21,-9800.0,EUR,DE89370400440532013000,Related Party AG,DE75512108001245126199,Darlehen Rueckzahlung / Gesellschafter,E2E000033,BR000033
2026-01-22,2026-01-22,-300.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000034,BR000034
2026-01-23,2026-01-23,-2500.0,EUR,DE89370400440532013000,Consulting Partner GmbH,DE02120300000000202051,Beratungsleistung / kurzfristig,E2E000035,BR000035
2026-01-24,2026-01-24,-150.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000036,BR000036
2026-01-25,2026-01-25,-300.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000037,BR000037
2026-01-26,2026-01-26,-450.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000038,BR000038
2026-01-27,2026-01-27,-150.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000039,BR000039
2025-12-22,2025-12-22,-150.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000003,BR000003
2025-12-29,2025-12-29,12000.0,EUR,DE89370400440532013000,Key Customer Sp. z o.o.,PL61109010140000071219812874,Invoice 2026-010,E2E000010,BR000010
2026-01-05,2026-01-05,-450.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000017,BR000017
